"Entry_RSI","Armed_RSI","Stop_Loss","Sell_Pct","Avg_Final_Equity","Median_Final_Equity","Win_Rate","Min_Final_Equity"
20,30,0.09,0.5,130020.404508081,131712.363050112,83.3333333333333,49152.5257130575
10,30,0.1,1,129977.119704125,106863.341971743,50,17052.9772101402
10,60,0.08,0.5,129967.594291014,134130.928012868,66.6666666666667,36228.9485095516
20,60,0.04,1,129895.352727568,93331.8347314632,33.3333333333333,77401.5419301987
30,30,0.08,1,129845.496432188,134350.500162299,83.3333333333333,64553.1896245957
10,60,0.09,0.25,129816.814982291,112628.834326845,50,33491.4854755235
40,30,0.05,0.25,129755.395666145,129328.904373676,100,104582.071441438
10,60,0.05,0.25,129704.931641618,113106.058408888,50,32719.5751837808
40,30,0.09,0.25,129692.74178826,115950.409935339,50,57916.4392682028
10,60,0.1,0.5,129670.49115456,131659.996223034,66.6666666666667,36223.2565109113
20,30,0.05,0.75,129627.059695145,132404.802052548,50,60491.5185883713
30,60,0.06,0.25,129617.960924465,109811.615192272,50,53251.505274339
40,50,0.08,0.75,129595.817750738,89313.688623769,16.6666666666667,64357.0183272097
10,60,0.1,0.25,129582.509998536,111841.312331212,50,33489.873125987
10,60,0.06,0.25,129537.812646192,112217.148949479,50,33495.0467300361
30,30,0.1,0.75,129471.916932817,96367.9888832927,33.3333333333333,40951.1829270864
20,30,0.09,0.25,129361.834676212,136539.875631558,83.3333333333333,38151.3615323019
40,30,0.08,0.5,129335.268591002,132650.135122095,66.6666666666667,51216.2065885687
20,50,0.09,0.75,129308.729997033,115906.402073981,66.6666666666667,31589.9011037106
15,60,0.05,0.5,129283.090114758,120565.407866278,50,45968.1549184305
15,30,0.1,0.75,129238.201019053,102876.463691431,50,23612.148466692
35,35,0.09,0.75,129227.382393517,120613.745953952,66.6666666666667,39269.5542407537
10,60,0.09,0.5,129213.219774803,131848.918241587,66.6666666666667,36223.9193114927
10,60,0.04,0.25,129154.708682234,110595.236357995,50,34439.464929319
10,60,0.05,0.5,129110.456459079,130328.113124919,66.6666666666667,35972.9779691201
30,30,0.01,0.25,128857.321785213,130096.062863596,66.6666666666667,58864.6588898396
10,60,0.06,0.5,128849.700610167,130328.028524921,66.6666666666667,36234.1042597112
20,30,0.04,1,128604.383767869,73577.2139241481,33.3333333333333,41053.2091259479
15,60,0.05,0.25,128421.517004439,115493.181583692,50,38715.9333612889
25,40,0.03,1,128406.593593405,114045.759778057,66.6666666666667,48831.8653058767
20,50,0.09,0.5,128280.25424316,90887.7027479589,33.3333333333333,29182.2059771907
35,30,0.08,0.25,128216.051590456,117632.105156163,50,52686.0701386261
