"Period","RSI_n","Stoch_K_n","Stoch_D_n","Final_Equity"
"2012 - 2017 (Bull Market)",10,7,5,147556.405721725
"2012 - 2017 (Bull Market)",14,7,5,152776.196054705
"2012 - 2017 (Bull Market)",16,7,5,72833.767173202
"2012 - 2017 (Bull Market)",20,7,5,186011.801389754
"2012 - 2017 (Bull Market)",10,10,5,153329.541570215
"2012 - 2017 (Bull Market)",14,10,5,148612.199861273
"2012 - 2017 (Bull Market)",16,10,5,61783.626051445
"2012 - 2017 (Bull Market)",20,10,5,159824.849193575
"2012 - 2017 (Bull Market)",10,14,5,152562.226046151
"2012 - 2017 (Bull Market)",14,14,5,159744.743707479
"2012 - 2017 (Bull Market)",16,14,5,62377.4016964269
"2012 - 2017 (Bull Market)",20,14,5,144421.201746931
"2012 - 2017 (Bull Market)",10,5,7,161371.363666746
"2012 - 2017 (Bull Market)",14,5,7,141256.00661101
"2012 - 2017 (Bull Market)",16,5,7,62176.7734903527
"2012 - 2017 (Bull Market)",20,5,7,161533.526319242
"2012 - 2017 (Bull Market)",10,7,7,164001.804176174
"2012 - 2017 (Bull Market)",14,7,7,169907.052118348
"2012 - 2017 (Bull Market)",16,7,7,67822.4875552797
"2012 - 2017 (Bull Market)",20,7,7,170146.907949889
"2012 - 2017 (Bull Market)",10,10,7,184304.890509286
"2012 - 2017 (Bull Market)",14,10,7,179150.258841814
"2012 - 2017 (Bull Market)",16,10,7,68654.9698230434
"2012 - 2017 (Bull Market)",20,10,7,165946.905176642
"2012 - 2017 (Bull Market)",10,14,7,144832.43877207
"2012 - 2017 (Bull Market)",14,14,7,181403.034012426
"2012 - 2017 (Bull Market)",16,14,7,63254.1555633545
"2012 - 2017 (Bull Market)",20,14,7,143538.277183068
"2016 - 2021 (COVID Crash)",10,5,3,261178.341287127
"2016 - 2021 (COVID Crash)",14,5,3,308885.979351125
"2016 - 2021 (COVID Crash)",16,5,3,184326.624439146
"2016 - 2021 (COVID Crash)",20,5,3,151700.154196434
"2016 - 2021 (COVID Crash)",10,7,3,271795.335145531
"2016 - 2021 (COVID Crash)",14,7,3,247671.888976002
"2016 - 2021 (COVID Crash)",16,7,3,177623.530179342
"2016 - 2021 (COVID Crash)",20,7,3,136176.716605043
"2016 - 2021 (COVID Crash)",10,10,3,247867.175516715
"2016 - 2021 (COVID Crash)",14,10,3,328441.172230544
"2016 - 2021 (COVID Crash)",16,10,3,189997.793528041
"2016 - 2021 (COVID Crash)",20,10,3,107667.986860294
"2016 - 2021 (COVID Crash)",10,14,3,272897.832994714
"2016 - 2021 (COVID Crash)",14,14,3,309771.484327607
"2016 - 2021 (COVID Crash)",16,14,3,189148.657527525
"2016 - 2021 (COVID Crash)",20,14,3,157669.426211004
"2016 - 2021 (COVID Crash)",10,5,5,265969.481775074
"2016 - 2021 (COVID Crash)",14,5,5,340323.600693421
"2016 - 2021 (COVID Crash)",16,5,5,178132.564371171
"2016 - 2021 (COVID Crash)",20,5,5,125621.37527256
"2016 - 2021 (COVID Crash)",10,7,5,284769.119002709
"2016 - 2021 (COVID Crash)",14,7,5,277058.985281224
"2016 - 2021 (COVID Crash)",16,7,5,140126.053003516
"2016 - 2021 (COVID Crash)",20,7,5,130128.568658562
