"Period","Entry_RSI","Armed_RSI","Stop_Loss","Sell_Pct","Final_Equity"
"2000 - 2005 (Dot-Com Bust)",25,70,0.03,0.25,88959.1668323493
"2000 - 2005 (Dot-Com Bust)",30,70,0.03,0.25,109237.264255364
"2000 - 2005 (Dot-Com Bust)",35,70,0.03,0.25,103342.484627916
"2000 - 2005 (Dot-Com Bust)",40,70,0.03,0.25,108990.19270962
"2000 - 2005 (Dot-Com Bust)",10,30,0.04,0.25,143511.894218456
"2000 - 2005 (Dot-Com Bust)",15,30,0.04,0.25,124872.876872197
"2000 - 2005 (Dot-Com Bust)",20,30,0.04,0.25,159115.658206915
"2000 - 2005 (Dot-Com Bust)",25,30,0.04,0.25,112783.540919064
"2000 - 2005 (Dot-Com Bust)",30,30,0.04,0.25,181554.330214551
"2000 - 2005 (Dot-Com Bust)",35,30,0.04,0.25,144845.325187029
"2000 - 2005 (Dot-Com Bust)",40,30,0.04,0.25,96314.4957185208
"2000 - 2005 (Dot-Com Bust)",10,35,0.04,0.25,57232.0247017407
"2000 - 2005 (Dot-Com Bust)",15,35,0.04,0.25,24105.0258162725
"2000 - 2005 (Dot-Com Bust)",20,35,0.04,0.25,26940.5941123176
"2000 - 2005 (Dot-Com Bust)",25,35,0.04,0.25,48596.1000339281
"2000 - 2005 (Dot-Com Bust)",30,35,0.04,0.25,100913.394770042
"2000 - 2005 (Dot-Com Bust)",35,35,0.04,0.25,63309.6140756303
"2000 - 2005 (Dot-Com Bust)",40,35,0.04,0.25,60520.1414335209
"2000 - 2005 (Dot-Com Bust)",10,40,0.04,0.25,72393.2614259136
"2000 - 2005 (Dot-Com Bust)",15,40,0.04,0.25,99219.8793193233
"2000 - 2005 (Dot-Com Bust)",20,40,0.04,0.25,119487.803114779
"2000 - 2005 (Dot-Com Bust)",25,40,0.04,0.25,114981.178564007
"2000 - 2005 (Dot-Com Bust)",30,40,0.04,0.25,52853.554205212
"2000 - 2005 (Dot-Com Bust)",35,40,0.04,0.25,51509.212112149
"2000 - 2005 (Dot-Com Bust)",40,40,0.04,0.25,107712.085662597
"2000 - 2005 (Dot-Com Bust)",10,45,0.04,0.25,148092.233055933
"2000 - 2005 (Dot-Com Bust)",15,45,0.04,0.25,150672.698357409
"2000 - 2005 (Dot-Com Bust)",20,45,0.04,0.25,91184.7288178488
"2000 - 2005 (Dot-Com Bust)",25,45,0.04,0.25,106509.719232233
"2000 - 2005 (Dot-Com Bust)",30,45,0.04,0.25,90403.1532763029
"2000 - 2005 (Dot-Com Bust)",35,45,0.04,0.25,92402.8982091487
"2000 - 2005 (Dot-Com Bust)",40,45,0.04,0.25,69259.8914583054
"2000 - 2005 (Dot-Com Bust)",10,50,0.04,0.25,524451.857882683
